conjuntoMuestras,codigoExterno,region,proyecto,especie
Nursery_OR,05-2086-12,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,05-2086-20,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,05-2086-31,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,05-2086-34,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,05-2088-3,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,06-30,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,06-81-2,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,06-1036-71B,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,06-1036-71C,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,06-1029-122D,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,06-1029-122C,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,06-1029-122A,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,06-1029-98C,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,06-1027-90,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1369017-9,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1352535-6,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1343990-17,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1344272-8,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1411152-10A,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1341321-16,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1418983-2,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1402871-B,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1373915-5,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1343990-10,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1360295-17,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1341321-32,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1339849-3,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1339849-5,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1339849-6,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1339849-7,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1339849-8,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1339849-10,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1339849-12,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1339849-13,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1339849-15,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1339849-16,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1339849-17,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1429425,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,07-83-7-B,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,07-83-37-D,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,07-83-38-B,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,07-83-38-D,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1370431-1,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1370431-2,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1370431-3,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1370431-4,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1370431-5,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1428631-1,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,04-278-3,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,04-335-2B,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,04-335-2C,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1314176-9,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1314176-13,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1387968,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1418886,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,04-83D,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,Phytr-06-4,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,Phytr-0-217,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,NOR1.2,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,MCK1.1,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,MCK1.2,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,4123.100000000000364,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,07-1161-1C,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,07-1161-1E,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,07-1161-4A,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,07-1161-4B,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,07-1161-3-1,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,07-1161-3-2,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,07-1161-3-3,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,07-1161-5A,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,07-1161-5D,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1314070-20,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,07-1240-1,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,08-15-1,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,08-16-1,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1368791-19,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1368791-21,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1429891-1,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1429891-2,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1429891-3,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1429891-4,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1429891-6,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1429891-7,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1429891-10,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1429891-11,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1437044-28,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1454471-29,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1454471-31,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1309326-1,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1480397,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1368791-2,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1281744-1,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1281744-3,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1281744-5,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1281744-6,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1281744-7,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1281744-9,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1281744-10,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1281744-15,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1281744-16,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1281744-21,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1454527-12,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1480844-4,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1480844-5,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1480844-8,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1480844-10,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1281744-4,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1480841-6,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1281789-1,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1281789-2,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1431833-31,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1431833-32,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1431833-39,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1309305-21,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,118-28-B,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,118-28-E,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,134-19-E,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,134-20-E,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,Pr 519- LTR1.2,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,Pr 520- MCK1.1,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,09-133-4 ODA,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,SOD OR 10-59-3-A,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,SOD OR 10-59-3-D,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,SOD OR 10-59-3-E,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,SOD OR 10-59-3-F,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,SOD OR 10-59-3-H,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,Pr 731,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,Pr 732,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,Pr 733,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,Pr 734,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,Pr 735,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1441558-37,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1441558-39,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1469925-55,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1538371-8,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1560692-17,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1623730-36,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1623827-6,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1631078-10,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1631078-12,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,#4177 Blomquist back up,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1631081-1,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1631081-2,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1631081-3,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1631081-15,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1631081-17,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1631081-22,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1644850-1,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1644850-2,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1644850-4,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1644850-5,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1644850-6,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1644850-7,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1644850-8,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1644856-18,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1644856-35,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1341878-7,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1341878-49,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1365048,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1496607,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1560191-36,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1583329-B,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1583329-C,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1596853,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1596854,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1621925-9,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1621925-11,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1621926-8,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1626660-3,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1625769,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1626651-10,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1626656-1,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1644994-2,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,PC#11-1366,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,ODA 81-8,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,ODA 81-9,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,ODA 81-37,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,ODA 114-6,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,120187,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,120189,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,120231,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1404252-18,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1497058-26,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1644623-8,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,1644623-26,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,230P06005897-8,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,230P06005897-9,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,230P06005898-20,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,230P06005898-21,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,10998-V2,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,1004.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,1008.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,1019.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,1021.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,1030.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,1031.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,1032.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,1033.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,1041,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,1044,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,1055,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2029.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2043.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2091.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2092,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2096,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2099.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2108.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2108.2,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2110.4,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,4088.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,4089.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,4120,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,4122.4,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,4131,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,4143.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,4144.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,4146.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,4154,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,4158.2,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,4167.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,4168.2,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,4169.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,4172.2,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,4173.2,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,5013.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,5019,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,1020.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2018.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2148.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2153.3,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2157.3,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2176,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2178,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2179,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2180,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2181,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2183,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2184,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2190,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2192,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2193,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2194,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2195,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2206,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2220,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,4215,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,4242,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,4251.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,4252.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,4280,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,4297,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,4301.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,4318.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,4320.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,5410,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,5448.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,5449.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,5450,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,5451,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,5464,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,5467,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,WA12-101402,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,WA9-111302,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2027,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,1105,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2222,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2234.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2234.2,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2235.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2235.2,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2236,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2236.10,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2236.6,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2236.7,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2243.1,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2243.3,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2243.5,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
JHallCr,2243.6,JHallCr_OR,Kamvar_et_al_2014,Phytophthora ramorum
